tram_id,stop_id,sequence
1852816,61103414,16
1852816,60025046,17
1852816,60025037,18
1852816,231454841,19
1852816,250677074,20
1852816,267929741,21
1852816,60722751,22
1852816,60732076,23
1852816,1325372165,24
1852816,1506442723,25
1852816,1506442726,26
1852816,1934914135,27
1852816,2564674976,28
1852816,350510758,29
1852816,279556951,30
1852816,1680783345,31
1852816,1506452485,32
1852816,1675121446,33
4107686,1675121446,16
4107686,1585675583,17
4107686,1253673426,18
4107686,1547396457,19
4107686,1547396442,20
4107686,1623916618,21
4107686,1934914134,22
4107686,1681472362,23
4107686,1623916533,24
4107686,1623916826,25
4107686,2565144095,26
4107686,2575586331,27
4107686,2575586432,28
4107686,3118523798,29
4107686,3118523797,30
4107686,3118400914,31
4107686,3118400917,32
4107686,3118400918,33
4107771,308531607,39
4107771,1547404590,40
4107771,1547411650,41
4107771,1547420308,42
4107771,1547429119,43
4107771,945144532,44
4107771,945144547,45
4107771,945144550,46
4107771,101499645,47
4107771,3118402938,48
4107771,3118400912,49
4107771,3118400916,50
4107771,3118400913,51
4107771,3118400915,52
4107771,60939764,53
4107771,61094962,54
4107771,1547396457,55
4107771,1547396442,56
4107771,1547384911,57
4107771,1547384953,58
4107771,1547375469,59
4107771,1547373347,60
4107771,1547362409,61
4107771,1540210571,62
4107771,3124581464,63
4107771,231578480,64
4107771,1540200957,65
4107771,1540197414,66
4107772,231578457,37
4107772,231578469,38
4107772,231578480,39
4107772,279249812,40
4107772,231578510,41
4107772,281259065,42
4107772,38460665,43
4107772,231532087,44
4107772,281259064,45
4107772,231529652,46
4107772,350510758,47
4107772,279556951,48
4107772,2305432922,49
4107772,2305432920,50
4107772,70972317,51
4107772,224660817,52
4107772,148694939,53
4107772,74943027,54
4107772,119409072,55
4107772,1547454806,56
4107772,1547447278,57
4107772,1547443496,58
4107772,1547440719,59
4107772,945144528,60
4107772,308735605,61
4107772,308734763,62
4107772,368004431,63
4107772,308531607,64
4107815,3124678227,30
4107815,3123039811,31
4107815,3123033194,32
4107815,2577355086,33
4107815,2577355001,34
4107815,3123093632,35
4107815,2577354970,36
4107815,2998606177,37
4107815,2997830175,38
4107815,2998606178,39
4107815,317829490,40
4107815,60025069,41
4107815,126601804,42
4107815,60025062,43
4107815,61103414,44
4107815,60025046,45
4107815,60025037,46
4107815,60939764,47
4107815,61094962,48
4107815,3118564775,49
4107815,265410397,50
4107815,267847611,51
4107815,267929741,52
4107815,60722751,53
4107815,60732076,54
4107815,281177110,55
4107815,317827455,56
4107815,317827428,57
4107815,2575611355,58
4107815,2575611364,59
4107816,947038576,30
4107816,281177205,31
4107816,3122483715,32
4107816,2572111087,33
4107816,2565144095,34
4107816,2575586331,35
4107816,2575586432,36
4107816,3119065614,37
4107816,3119065612,38
4107816,3119065613,39
4107816,2305432922,40
4107816,2305432920,41
4107816,3118400914,42
4107816,3118400917,43
4107816,3118400918,44
4107816,3123093686,45
4107816,3123093631,46
4107816,3123093685,47
4107816,3123093687,48
4107816,317829573,49
4107816,317829604,50
4107816,317830323,51
4107816,60025122,52
4107816,317830790,53
4107816,317830908,54
4107816,317831067,55
4107816,317831124,56
4107816,281570631,57
4107816,3124678226,58
4107862,3124664050,33
4107862,1325390524,34
4107862,1506752868,35
4107862,1506752860,36
4107862,1506744094,37
4107862,1433104540,38
4107862,1504387689,39
4107862,1504405475,40
4107862,1504405479,41
4107862,1682209623,42
4107862,1506452489,43
4107862,1675121446,44
4107862,1585675583,45
4107862,1253673426,46
4107862,231389156,47
4107862,231389166,48
4107862,231454791,49
4107862,60732076,50
4107862,281177110,51
4107862,1680783344,52
4107862,3119254607,53
4107862,2187320583,54
4107862,3127567488,55
4107863,3124664050,33
4107863,1325390524,34
4107863,1506752868,35
4107863,1506752860,36
4107863,1506744094,37
4107863,1433104540,38
4107863,1504387689,39
4107863,1504405475,40
4107863,1504405479,41
4107863,1682209623,42
4107863,1506452489,43
4107863,1675121446,44
4107863,1585675583,45
4107863,1253673426,46
4107863,231389156,47
4107863,231389166,48
4107863,231454791,49
4107863,60732076,50
4107863,281177110,51
4107863,1680783344,52
4107863,3119254607,53
4107863,1503531737,54
4107863,1508371545,55
4107863,3119255451,56
4107863,1503531720,57
4107864,3127567487,32
4107864,1680725835,33
4107864,1508371563,34
4107864,1680783342,35
4107864,3124627562,36
4107864,2565144095,37
4107864,3124636922,38
4107864,3122456986,39
4107864,3122456979,40
4107864,1680783345,41
4107864,1506452485,42
4107864,1675121448,43
4107864,3123033195,44
4107864,3123033218,45
4107864,2575419253,46
4107864,2575419127,47
4107864,3123039812,48
4107864,2575419210,49
4107864,2575419150,50
4107864,2575419232,51
4107864,2564554951,52
4107864,3124664054,53
4107864,3124664051,54
4107865,3124627566,32
4107865,1508371591,33
4107865,3119254608,34
4107865,3119255452,35
4107865,1508371563,36
4107865,1680783342,37
4107865,3124627562,38
4107865,2565144095,39
4107865,3124636922,40
4107865,3122456986,41
4107865,3122456979,42
4107865,1680783345,43
4107865,1506452485,44
4107865,1675121448,45
4107865,3123033195,46
4107865,3123033218,47
4107865,2575419253,48
4107865,2575419127,49
4107865,3123039812,50
4107865,2575419210,51
4107865,2575419150,52
4107865,2575419232,53
4107865,2564554951,54
4107865,3124664054,55
4107865,3124664051,56
